Taxon,Lat,Hab,FemState
Oxyagrion_ablutum,NA,O,2
Acanthagrion_adustum,Trp,O,0
Acanthagrion_amazonicum,Trp,,
Acanthagrion_apicale,Trp,C,
Acanthagrion_cf.abunae,Trp,,
Acanthagrion_cf.chararum,Trp,,
Acanthagrion_cuyabae,Trp,O,0
Acanthagrion_floridense,Trp,O,0
Acanthagrion_fluviatile,Trp,,
Acanthagrion_gracile,Trp,C/O,
Acanthagrion_sp3,Trp,,
Acanthagrion_inexpectum,Trp,O,0
Acanthagrion_lancea,Trp,O,0
Acanthagrion_minutum,Trp,O,1
Acanthagrion_obsoletum,Trp,C,2
Acanthagrion_sp2,Trp,C,
Acanthagrion_phallicorne,Trp,,
Acanthagrion_rubrifrons,Trp,C,2
Acanthagrion_sp1,NA,,
Acanthagrion_temporale,Trp,O,1
Acanthagrion_trilobatum,Trp,C/O,0
Acanthagrion_vidua,Trp,,
Acanthagrion_yungarum,Trp,O,0
Aciagrion_africanum,Trp,O,
Aciagrion_approximans,Trp,O,0
Aciagrion_bapepe,Trp,C,0
Aciagrion_borneense,Trp,O,0
Aciagrion_brosseti,Trp,O,
Aciagrion_hisopa,Trp,O,0
Aciagrion_migratum,NA,O,2
Aciagrion_nodosum,Trp,C,0
Aciagrion_occidentale,Trp,,0
Aeolagrion_dorsale,Trp,C,0
Aeolagrion_inca,Trp,C,0
Aeolagrion_philipi,NA,C,0
Africallagma_elongatum,Trp,O,
Africallagma_glaucum,Trp,O,1
Africallagma_pseudelongatum,Trp,C,
Africallagma_quingentum,Trp,O,2
Africallgama_vaginale,Trp,C/O,
Agriocnemis_argentea,NA,C/O,2
Agriocnemis_canuango,Trp,O,0
Agriocnemis_exilis,Trp,O,2
Agriocnemis_exsudans,Trp,C/O,2
Agriocnemis_femina,Trp,C/O,2
Agriocnemis_forcipata,Trp,O,2
Agriocnemis_inversa,Trp,O,2
Agriocnemis_kalinga,Trp,O,2
Agriocnemis_keralensis,Trp,O,2
Agriocnemis_lacteola,NA,O,2
Agriocnemis_maclachlani,Trp,C,
Agriocnemis_nana,Trp,O,0
Agriocnemis_pinheyi,Trp,O,2
Agriocnemis_pygmaea,Trp,C/O,0
Agriocnemis_salomonis,Trp,,
Agriocnemis_toto,Trp,O,
Agriocnemis_victoria,Trp,O,2
Allocnemis_abbotti,Trp,C,0
Allocnemis_cyanura,Trp,C,0
Allocnemis_leucosticta,Tmp,C,2
Allocnemis_marshalli,Trp,C,2
Allocnemis_nigripes,Trp,C,2
Allocnemis_pauli,Trp,C,0
Allocnemis_vicki,Trp,C,
Amazoneura_ephippigera,Trp,C,0
Amazoneura_westfalli,Trp,C,
Amphiagrion_abbreviatum,Tmp,C/O,1
Amphiagrion_saucium,Tmp,C,2
Amphicnemis_ecornuta,Trp,C,
Amphicnemis_gracilis,Trp,C,2
Amphicnemis_martini,Trp,C,
Amphicnemis_triplex,Trp,C,2
Amphicnemis_wallacii,Trp,C,2
Andinagrion_garrisoni,Tmp,O,2
Anisagrion_allopterum,Trp,C/O,2
Anisagrion_inornatum,Trp,O,2
Anisagrion_kennedyi,Trp,O,0
Anomisma_abnorme,Trp,C,0
Apanisagrion_lais,Trp,C,0
Arabicnemis_caerulea,Trp,O,2
Archibasis_melanocyana,Trp,C,0
Archibasis_rebeccae,Trp,C,
Archibasis_viola,Trp,C,2
Argentagrion_ambiguum,Trp,O,1
Argia_adamsi,Trp,C,1
Argia_agrioides,Tmp,O,1
Argia_alberta,Tmp,O,1
Argia_albistigma,Tmp,,1
Argia_anceps,Trp,O,2
Argia_apicalis,Tmp,C/O,1
Argia_barretti,NA,C/O,1
Argia_bipunctulata,Tmp,O,2
Argia_botacudo,Trp,,
Argia_calida,Trp,C,
Argia_cf.serva,Tmp,C,
Argia_chapadae,Trp,,
Argia_chelata,Trp,O,2
Argia_claussenii,NA,C,2
Argia_collata,Trp,C/O,
Argia_concinna,Trp,O,2
Argia_croceipennis,NA,O,2
Argia_cupraurea,Trp,O,2
Argia_cuprea,NA,O,2
Argia_difficilis,Trp,C,
Argia_dives,Trp,C,
Argia_emma,Tmp,O,1
Argia_euphorbia,Trp,C,2
Argia_extranea,Trp,O,1
Argia_fissa,Trp,O,
Argia_fraudatricula,Trp,C,
Argia_frequentula,Trp,C,2
Argia_fulgida,Trp,O,
Argia_fumigata,Trp,C,2
Argia_fumipennis,Tmp,O,2
Argia_funcki,NA,,2
Argia_garrisoni,NA,O,2
Argia_gaumeri,Trp,O,0
Argia_gerhardi,Trp,C,
Argia_hamulata,Trp,,
Argia_harknessi,NA,,1
Argia_herberti,NA,,
Argia_hinei,Tmp,O,2
Argia_huanacina,Trp,O,0
Argia_immunda,NA,C/O,1
Argia_inculta,Trp,O,2
Argia_indicatrix,Trp,C,2
Argia_infrequentula,Trp,C/O,
Argia_insipida,Trp,O,0
Argia_jocosa,Trp,O,2
Argia_joergenseni,NA,O,2
Argia_johanella,Trp,O,0
Argia_jujuya,Tmp,,2
Argia_kokama,Trp,C,
Argia_lacrimans,NA,C,1
Argia_leonorae,NA,O,2
Argia_lilacina,NA,O,2
Argia_limitata,Trp,C/O,2
Argia_lugens,Tmp,O,2
Argia_medullaris,Trp,C/O,2
Argia_meioura,Trp,C,2
Argia_modesta,Trp,O,2
Argia_moesta,Tmp,C/O,1
Argia_mollis,Trp,,
Argia_munda,Tmp,O,1
Argia_nahuana,Tmp,O,1
Argia_nigrior,Trp,,
Argia_oculata,Trp,C,1
Argia_oenea,NA,,1
Argia_orichalcea,Trp,O,2
Argia_pallens,NA,C/O,2
Argia_pima,NA,C,1
Argia_plana,Tmp,C/O,1
Argia_pocomana,Trp,C/O,1
Argia_popoluca,Trp,C,2
Argia_pulla,Trp,O,2
Argia_reclusa,Trp,,
Argia_rhoadsi,NA,C,1
Argia_sabino,NA,O,1
Argia_sedula,Tmp,C/O,2
Argia_smithiana,Trp,O,
Argia_sordida,Trp,C/O,0
Argia_talamanca,Trp,C,0
Argia_tamoyo,Trp,,
Argia_tarascana,NA,C/O,1
Argia_terira,Trp,C,2
Argia_tezpi,NA,O,1
Argia_tibialis,Tmp,C,1
Argia_tonto,NA,C/O,0
Argia_translata,NA,O,2
Argia_ulmeca,Trp,C,0
Argia_underwoodi,Trp,C,0
Argia_variabilis,NA,,
Argia_variegata,Trp,C/O,2
Argia_vivida,Tmp,O,1
Argia_westfalli,NA,C/O,2
Argiocnemis_rubescens_rubeola,Trp,C,2
Argiocnemis_rubescens_rubescens,Trp,C,2
Austroagrion_cyane,NA,O,2
Austroagrion_exclamationis,Trp,O,2
Austroagrion_watsoni,NA,O,2
Austrocnemis_splendida,NA,C/O,1
Austrocoenagrion_lyelli,Tmp,O,0
Azuragrion_buchholzi,Trp,,
Azuragrion_nigridorsum,Trp,O,2
Azuragrion_vansomereni,Trp,O,2
Bromeliagrion_fernandezianum,Trp,C,
Bromeliagrion_rehni,Trp,C,
Calicnemia_chaseni,Trp,C,2
Calicnemia_eximia,Trp,C,2
Calicnemia_rectangulata,Trp,C,2
Calicnemia_sinensis,NA,C,0
Calvertagrion_declivatum,Trp,C,2
Ceriagrion_aeruginosum,Trp,C/O,2
Ceriagrion_annulatum,Trp,C,2
Ceriagrion_auranticum,Trp,C,2
Ceriagrion_azureum,Trp,O,2
Ceriagrion_bakeri,Trp,C,
Ceriagrion_banditum,Trp,O,
Ceriagrion_bellona,Trp,O,2
Ceriagrion_calamineum,Trp,O,
Ceriagrion_cerinorubellum,Trp,O,0
Ceriagrion_chaoi,Trp,O,2
Ceriagrion_corallinum,Trp,O,2
Ceriagrion_coromandelianum,Trp,O,0
Ceriagrion_fallax,Trp,O,2
Ceriagrion_glabrum,Trp,O,2
Ceriagrion_indochinense,Trp,O,2
Ceriagrion_junceum,Trp,O,
Ceriagrion_katamborae,Trp,O,2
Ceriagrion_kordofanicum,Trp,O,
Ceriagrion_malaisei,Trp,O,
Ceriagrion_melanurum,NA,O,2
Ceriagrion_nipponicum,Tmp,O,2
Ceriagrion_obfuscans,Trp,C,
Ceriagrion_olivaceum,Trp,O,0
Ceriagrion_platystigma,Trp,C/O,2
Ceriagrion_rubellocerinum,Trp,C,
Ceriagrion_sakejii,Trp,O,
Ceriagrion_suave,Trp,O,
Ceriagrion_tenellum,Tmp,O,1
Ceriagrion_whellani,Trp,O,0
Chromagrion_conditum,Tmp,C/O,1
Coeliccia_albicauda,Trp,C,2
Coeliccia_axinocercus,Trp,C,
Coeliccia_borneensis,Trp,C,
Coeliccia_cf.kazukoae,Trp,C,0
Coeliccia_chromothorax,Trp,C,0
Coeliccia_cyaneothorax,Trp,,
Coeliccia_cyanomelas,NA,C,2
